Actual / Predicted,Cloud Engineer,Cybersecurity Engineer,Data Analyst,Data Engineer,Data Scientist,Database Administrator,DevOps Engineer,Machine Learning Engineer,Software Developer,Web Developer
Cloud Engineer,25,1,1,2,0,0,3,0,2,0
Cybersecurity Engineer,0,105,1,0,0,0,1,0,3,0
Data Analyst,0,2,189,1,2,0,0,0,3,0
Data Engineer,1,1,3,65,2,0,1,0,7,1
Data Scientist,0,2,9,0,43,0,0,2,2,0
Database Administrator,0,0,5,0,0,33,0,0,5,0
DevOps Engineer,2,1,0,0,0,0,66,0,3,1
Machine Learning Engineer,0,0,1,1,4,0,0,25,7,0
Software Developer,1,0,3,3,0,0,1,3,339,1
Web Developer,0,0,1,0,0,0,0,0,22,15
